Item ID,Item Name,Item Number
-1,reg_time,2018-05-10 20:01:10
item-10,Dummy Core,2019
item-31,Basic Training Data,5266
item-32,Intermediate Training Data,8637
item-33,Advanced Training Data,9825
-1,kalina_level,28
-1,kalina_favor,92159
item-1,T-Doll Contract,1865
item-2,Equipment Contract,4791
item-3,Quick Production Contract,2666
item-4,Quick Repair Contract,4866
item-5,Daily Pause Permit,1
item-7,Oath Certificate,4
item-8,Quick Training Contract,130
item-9,Enhancement Capsule,1750
item-11,Key Card,0
item-12,Points,0
item-14,Original Sample,793
item-15,Pure Sample,46
item-16,Quick Analysis Contract,878
item-17,Data Patch,324
item-41,Token,6613
item-43,Black Card,3
item-44,Calibration Ticket,12045
item-45,Memory Fragment,8180
item-46,Special Combat Report,10174
item-47,Theater Material,9
item-50,Universal Parts,7604
item-51,New Type Fire-Control Component,38
item-100,Elite Griffin Combat Medal,4
item-101,Combat Ranking Medal,77
item-103,Challenger Medal,22
item-104,Elite Adventurer Medal,3
item-304,Central Data: M2,0
item-306,Core Data: QLZ-04,0
item-307,Central Data: Mk 153,20
item-506,Battery,2039
item-507,Surplus EXP,840
item-508,Friendship Points,74670
item-509,Fairy Command,200
item-512,Supernova Kernel,30
item-513,Dark Star Kernel,6900
item-514,Petri Dish,3828
item-515,Basic Training Keycode,21718
item-516,Advanced Training Keycode,14891
item-519,HOC General Data,47
item-520,Frag Grenade,28
item-521,Stun Grenade,40
item-522,Turret,15
item-601,Infinite Surprise Dye,39
item-602,Colorful Specified Dye,1
item-603,Potential Energy,0
item-604,Electronic Impulse,0
item-605,Aid Commission,38
item-606,Transfer Catalyst,130
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1007,M38 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1012,Serdyukov Icon,1
item-1015,Gr MP5 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1039,PPS-43 Icon,1
item-1040,RMB-93 Icon,1
item-1041,STEN Mk II Icon,1
item-1042,SV-98 Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1061,M3 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1070,AS Val Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1075,Kar98k Icon,1
item-1228,Icon: Official 4-Koma vol.1,1
item-1229,Icon: Official 4-Koma vol.2,1
item-1230,Icon: Official 4-Koma vol.3,1
item-1248,Icon: Official 4-Koma vol.4,1
item-1262,M1911 Neural Upgrade Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1265,ST AR-15 Neural Upgrade Icon,1
item-1276,Icon: Black Rider,1
item-1277,Icon: Wind Speaker,1
item-1278,Icon: Fallen Angel,1
item-1279,Icon: White Doll,1
item-1280,Icon: Cat Warrior,1
item-1281,Icon: El Clear,1
item-1282,Icon: El Fail,1
item-1283,Icon: Queen of Pocket City,1
item-1286,ID Card: Big Adventure in Pocket City,1
item-1287,Icon: Official 4-koma - VOL. 5,1
item-1302,Icon: Smile of the Wolf,1
item-1318,SAA Neural Upgrade Icon,1
item-1331,Base Background:Fireworks of Summer,1
item-1332,Icon: Reservoir Dog,1
item-1333,ID Card: Final Flight,1
item-1344,M4 SOPMOD II Neural Upgrade Icon,1
item-1345,UMP45 Neural Upgrade Icon,1
item-1368,Gr G36 Neural Upgrade Icon,1
item-1388,Background: Winter is Coming,1
item-1405,ID Card: Sangvis Presence,1
item-1406,Icon: Fatal Freedom,1
item-1490,True Core Mask Commemorative Icon: Shattered Connexion,1
item-1491,Icon: Lost Queen-of-the-Night,1
item-1492,ID: Train Station of the Beginning,1
item-1493,MP5 Neural Upgrade Icon,1
item-1494,416 Neural Upgrade Icon,1
item-1495,Type88 Neural Upgrade Icon,1
