Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-18 22:03:05,EQUIP,NORMAL,10/10/10/10,REDDOT,11,COG M150,★★★★
2020-09-18 22:03:05,EQUIP,NORMAL,10/10/10/10,REDDOT,10,AMP COMPM4,★★★
2020-09-18 22:04:58,GUN,NORMAL,400/91/400/30,AR,237,SAR-21,★★★★
2020-09-18 22:04:58,GUN,NORMAL,400/91/400/30,SMG,26,Gr MP5,★★★★
2020-09-18 22:05:14,GUN,NORMAL,400/91/400/30,RF,235,SPR A3G,★★★★
2020-09-18 22:05:14,GUN,NORMAL,400/91/400/30,RF,44,SV-98,★★★
2020-09-18 22:05:27,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2020-09-18 22:05:27,GUN,NORMAL,400/91/400/30,RF,36,Springfield,★★★★
2020-09-18 22:05:41,GUN,NORMAL,400/91/400/30,RF,36,Springfield,★★★★
2020-09-18 22:05:41,GUN,NORMAL,400/91/400/30,RF,247,K31,★★★★
2020-09-18 22:05:54,GUN,NORMAL,400/91/400/30,AR,216,XM8,★★★★
2020-09-18 22:05:54,GUN,NORMAL,400/91/400/30,SMG,93,IDW,★★
2020-09-18 22:06:34,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2020-09-18 22:06:34,GUN,NORMAL,400/91/400/30,RF,235,SPR A3G,★★★★
2020-09-18 22:06:45,GUN,NORMAL,400/91/400/30,AR,63,Gr G3,★★
2020-09-18 22:06:45,GUN,NORMAL,400/91/400/30,RF,36,Springfield,★★★★
2020-09-18 22:06:56,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★
2020-09-18 22:06:56,GUN,NORMAL,400/91/400/30,RF,41,SKS,★★
2020-09-18 22:07:04,GUN,NORMAL,400/91/400/30,SMG,25,MP40,★★
2020-09-18 22:07:04,GUN,NORMAL,400/91/400/30,AR,71,Galil,★★
2020-09-18 22:07:14,GUN,NORMAL,400/91/400/30,SMG,27,Skorpion,★★★
2020-09-18 22:07:14,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2020-09-18 22:07:21,GUN,NORMAL,400/91/400/30,SMG,17,M3,★★
2020-09-18 22:07:21,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2020-09-18 22:07:28,GUN,NORMAL,400/91/400/30,RF,148,IWS 2000,★★★★★
