Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-24 22:00,GUN,NORMAL,30/30/30/30,HG,9,P38,??
2020-09-24 22:00,GUN,NORMAL,30/30/30/30,HG,2,M1911,??
2020-09-24 22:00,EQUIP,NORMAL,10/10/10/10,CLOAK,87,Ragged Cape,??
2020-09-24 22:00,EQUIP,NORMAL,10/10/10/10,CLOAK,89,Urban Camouflage Cape,????
2020-09-24 22:00,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,14,PEQ-5,???
2020-09-24 22:01,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-24 22:01,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-24 22:01,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,5,Defense Fairy,?
2020-09-24 22:01,EQUIP,HEAVY-2,2000/500/2000/1000,OPTICAL,3,PSO-1,????
2020-09-24 22:26,GUN,NORMAL,30/30/30/30,HG,9,P38,??
2020-09-24 22:27,GUN,NORMAL,30/30/30/30,HG,10,PPK,??
2020-09-24 22:27,EQUIP,NORMAL,10/10/10/10,SUPPRESSOR,63,AC1 Suppressor,??
2020-09-24 22:40,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,24,Barrier Fairy,?
2020-09-24 22:40,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,15,Command Fairy,?
2020-09-24 22:40,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,11,Parachute Fairy,?
2020-09-24 22:42,EQUIP,HEAVY-2,500/2000/2000/1000,HV,31,JHP High-Velocity Ammo,????
2020-09-24 22:42,EQUIP,HEAVY-2,500/2000/2000/1000,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-24 22:42,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,3,Armor Fairy,?
2020-09-24 22:42,EQUIP,HEAVY-2,500/2000/2000/1000,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-24 23:36,EQUIP,HEAVY-2,500/2000/2000/1000,HV,31,JHP High-Velocity Ammo,????
2020-09-24 23:36,EQUIP,HEAVY-2,500/2000/2000/1000,TEXO,39,IOP T3 Exoskeleton,????
2020-09-24 23:36,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,15,Command Fairy,?
2020-09-24 23:36,EQUIP,HEAVY-2,500/2000/2000/1000,AP,19,Mk169 Armor-Piercing Ammo,????
2020-09-25 00:24,EQUIP,HEAVY-2,500/2000/2000/1000,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 00:24,EQUIP,HEAVY-2,500/2000/2000/1000,HP,71,ILM Hollow-Point Ammo,????
2020-09-25 00:24,EQUIP,HEAVY-2,500/2000/2000/1000,ARMORPLATE,44,Type 3 Armor Plate,?????
2020-09-25 01:29,EQUIP,HEAVY-2,500/2000/2000/1000,HP,71,ILM Hollow-Point Ammo,????
2020-09-25 01:29,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,23,Combo Fairy,?
2020-09-25 01:29,EQUIP,HEAVY-2,500/2000/2000/1000,HV,31,JHP High-Velocity Ammo,????
2020-09-25 01:29,EQUIP,HEAVY-2,500/2000/2000/1000,BUCKSHOT,75,#00 Buckshot,????
2020-09-25 02:18,EQUIP,HEAVY-2,500/2000/2000/1000,OPTICAL,3,PSO-1,????
2020-09-25 02:18,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,14,Construction Fairy,?
2020-09-25 02:18,EQUIP,HEAVY-2,500/2000/2000/1000,AP,19,Mk169 Armor-Piercing Ammo,????
2020-09-25 02:18,EQUIP,HEAVY-2,500/2000/2000/1000,BUCKSHOT,75,#00 Buckshot,????
2020-09-25 03:03,EQUIP,HEAVY-2,500/2000/2000/1000,ARMORPLATE,43,Type 2 Armor Plate,????
2020-09-25 03:03,EQUIP,HEAVY-2,500/2000/2000/1000,AP,19,Mk169 Armor-Piercing Ammo,????
2020-09-25 03:03,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,7,Sniper Fairy,?
2020-09-25 03:04,EQUIP,HEAVY-2,500/2000/2000/1000,REDDOT,11,COG M150,????
2020-09-25 03:52,EQUIP,HEAVY-2,500/2000/2000/1000,OPTICAL,3,PSO-1,????
2020-09-25 03:52,EQUIP,HEAVY-2,500/2000/2000/1000,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 03:52,EQUIP,HEAVY-2,500/2000/2000/1000,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 04:39,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,9,Airstrike Fairy,?
2020-09-25 04:39,EQUIP,HEAVY-2,500/2000/2000/1000,HV,31,JHP High-Velocity Ammo,????
2020-09-25 04:39,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,17,Illumination Fairy,?
2020-09-25 04:39,EQUIP,HEAVY-2,500/2000/2000/1000,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 04:39,EQUIP,HEAVY-2,500/2000/2000/1000,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 05:30,EQUIP,HEAVY-2,500/2000/2000/1000,SLUGSHELL,79,WAD Slug,????
2020-09-25 05:30,EQUIP,HEAVY-2,500/2000/2000/1000,BUCKSHOT,75,#00 Buckshot,????
2020-09-25 05:30,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,23,Combo Fairy,?
2020-09-25 05:31,EQUIP,HEAVY-2,500/2000/2000/1000,FAIRY,12,Landmine Fairy,?
2020-09-25 05:31,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,5,Fury Fairy,?
2020-09-25 05:46:06,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,16,Rescue Fairy,?
2020-09-25 05:46:15,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-25 06:25:04,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,2,Fury Fairy,?
2020-09-25 06:25:04,EQUIP,HEAVY-2,2000/500/2000/1000,NIGHTEQUIP,15,PEQ-15,????
2020-09-25 06:25:04,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,7,Sniper Fairy,?
2020-09-25 06:25:23,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-25 06:25:23,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,16,Rescue Fairy,?
2020-09-25 06:25:32,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,3,Armor Fairy,?
2020-09-25 06:25:41,EQUIP,HEAVY-2,2000/500/2000/1000,FAIRY,16,Rescue Fairy,?
2020-09-25 06:26:09,EQUIP,HEAVY-2,2000/500/2000/1000,NIGHTEQUIP,16,PEQ-16A,?????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,ARMORPLATE,43,Type 2 Armor Plate,????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,HOLO,7,EOT 516,????
2020-09-25 07:23:19,EQUIP,HEAVY-2,2000/500/2000/1000,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-25 08:09:41,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 08:09:50,EQUIP,HEAVY-1,500/500/500/500,HOLO,8,EOT 518,?????
2020-09-25 14:21:44,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????
2020-09-25 14:21:44,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,?
2020-09-25 14:21:47,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-25 14:21:55,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-25 15:02:06,EQUIP,HEAVY-1,500/500/500/500,XEXO,57,IOP X3 Exoskeleton,????
2020-09-25 15:02:08,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 15:02:10,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 15:44:26,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-25 15:44:28,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 15:44:30,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 16:21:38,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-25 16:21:40,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-25 16:21:41,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-25 16:54:40,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-25 16:54:42,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,?????
2020-09-25 16:54:44,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 17:09:48,EQUIP,HEAVY-1,500/500/500/500,CLOAK,88,Camouflage Cape,???
2020-09-25 17:21:57,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,?
2020-09-25 17:22:06,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-25 17:41:37,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,?
2020-09-25 17:41:39,EQUIP,HEAVY-1,500/500/500/500,TEXO,38,IOP T2 Exoskeleton,???
2020-09-25 17:41:47,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,????
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,CLOAK,89,Urban Camouflage Cape,????
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-25 18:24:34,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,?
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-25 19:11:05,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????
