Datetime,Mission ID,Mission,Mission Attempt,Type,Doll,Rarity,Core,RESCUE_DOLL_EQUIP_TYPE,RESCUE_DOLL_EQUIP_NAME,RESCUE_DOLL_EQUIP_STAR
2020-10-14 23:05:10,10486,New Fork,26,MG,LWMMG,2,0,,,
2020-10-14 23:06:08,10486,New Fork,26,SMG,PP-2000,2,0,,,
2020-10-14 23:06:33,10486,New Fork,26,SMG,Skorpion,3,1,,,
2020-10-14 23:07:51,10486,New Fork,26,AR,Galil,2,0,,,
2020-10-14 23:08:06,10486,New Fork,26,RF,SKS,2,0,,,
2020-10-14 23:10:41,10486,New Fork,27,HG,M1911,2,0,,,
2020-10-14 23:11:06,10486,New Fork,27,SMG,Spectre M4,2,0,,,
2020-10-14 23:12:24,10486,New Fork,27,HG,Bren Ten,2,0,,,
2020-10-14 23:12:39,10486,New Fork,27,HG,M9,3,1,,,
2020-10-14 23:14:50,10486,New Fork,28,RF,SKS,2,0,,,
2020-10-14 23:15:49,10486,New Fork,28,HG,M1911,2,0,,,
2020-10-14 23:17:41,10486,New Fork,28,AR,Gr G3,2,0,,,
2020-10-14 23:19:34,10486,New Fork,29,MG,AAT-52,2,0,,,
2020-10-14 23:20:32,10486,New Fork,29,AR,FF F2000,2,0,,,
2020-10-14 23:22:11,10486,New Fork,29,AR,Galil,2,0,,,
2020-10-14 23:22:26,10486,New Fork,29,SMG,M38,2,0,,,
2020-10-14 23:24:10,10486,New Fork,30,RF,SKS,2,0,,,
2020-10-14 23:25:08,10486,New Fork,30,AR,Galil,2,0,,,
2020-10-14 23:25:33,10486,New Fork,30,RF,SKS,2,0,,,
2020-10-14 23:26:50,10486,New Fork,30,RF,FF FN49,2,0,,,
2020-10-14 23:27:04,10486,New Fork,30,HG,FF FNP9,2,0,,,
2020-10-14 23:29:34,10486,New Fork,31,HG,Bren Ten,2,0,,,
2020-10-14 23:31:28,10486,New Fork,31,AR,Galil,2,0,,,
2020-10-14 23:34:43,104,Betrayal IV,5706,SMG,Micro Uzi,3,1,,,
2020-10-14 23:35:20,104,Betrayal IV,5706,HG,FF FNP9,2,0,,,
2020-10-14 23:36:32,104,Betrayal IV,5706,SMG,M38,2,0,,,
2020-11-09 19:55:39,104,Betrayal IV,6004,MG,MG34,2,0,,,
2020-11-09 19:56:15,104,Betrayal IV,6004,RF,SKS,2,0,,,
2020-11-09 19:56:51,104,Betrayal IV,6004,AR,AK-47,3,1,,,
2020-11-09 19:57:27,104,Betrayal IV,6004,RF,M14,3,1,,,
2020-11-09 19:58:12,104,Betrayal IV,6004,SMG,Ingram,3,1,,,
2020-11-09 20:00:31,104,Betrayal IV,6005,SMG,M3,2,0,,,
2020-11-09 20:01:07,104,Betrayal IV,6005,HG,M9,3,1,,,
2020-11-09 20:01:43,104,Betrayal IV,6005,AR,FF F2000,2,0,,,
2020-11-09 20:02:28,104,Betrayal IV,6005,SMG,Type64,2,0,,,
2020-11-09 20:04:24,104,Betrayal IV,6006,RF,FF FN49,2,0,,,
2020-11-09 20:05:00,104,Betrayal IV,6006,HG,FF FNP9,2,0,,,
2020-11-09 20:05:36,104,Betrayal IV,6006,MG,MG34,2,0,,,
2020-11-09 20:06:12,104,Betrayal IV,6006,RF,SKS,2,0,,,
2020-11-09 20:06:58,104,Betrayal IV,6006,HG,FF FNP9,2,0,,,
2020-11-09 20:09:34,104,Betrayal IV,6007,SMG,Spectre M4,2,0,,,
2020-11-09 20:10:42,104,Betrayal IV,6007,RF,XM3,4,3,,,
2020-11-09 20:11:27,104,Betrayal IV,6007,MG,MG34,2,0,,,
2020-11-09 20:13:22,104,Betrayal IV,6008,HG,FF FNP9,2,0,,,
2020-11-09 20:13:58,104,Betrayal IV,6008,AR,Galil,2,0,,,
2020-11-09 20:15:06,104,Betrayal IV,6008,MG,AAT-52,2,0,,,
2020-11-09 20:15:52,104,Betrayal IV,6008,SMG,Skorpion,3,1,,,
2020-11-10 02:17:46,10382,Open Bag Surprise,40,HG,FF FNP9,2,0,,,
2020-11-10 02:18:12,10382,Open Bag Surprise,40,RF,FF FN49,2,0,,,
2020-11-10 02:18:30,10382,Open Bag Surprise,40,MG,MG34,2,0,,,
2020-11-10 02:19:27,10382,Open Bag Surprise,41,MG,MG34,2,0,,,
2020-11-10 02:20:07,10382,Open Bag Surprise,41,MG,AAT-52,2,0,,,
2020-11-10 02:21:20,10382,Open Bag Surprise,42,AR,FF F2000,2,0,,,
2020-11-10 02:22:00,10382,Open Bag Surprise,42,HG,FF FNP9,2,0,,,
2020-11-10 02:22:53,10382,Open Bag Surprise,43,HG,M1911,2,0,,,
2020-11-10 02:23:30,10382,Open Bag Surprise,43,RF,FF FN49,2,0,,,
2020-11-10 02:24:21,10382,Open Bag Surprise,44,SMG,M3,2,0,,,
2020-11-10 02:24:46,10382,Open Bag Surprise,44,AR,Galil,2,0,,,
2020-11-10 02:25:04,10382,Open Bag Surprise,44,RF,SKS,2,0,,,
2020-11-10 02:26:10,10382,Open Bag Surprise,45,MG,LWMMG,2,0,,,
2020-11-10 02:26:34,10382,Open Bag Surprise,45,RF,FF FN49,2,0,,,
2020-11-10 02:26:52,10382,Open Bag Surprise,45,SMG,Type64,2,0,,,
2020-11-10 02:29:12,50,Order to Pursue,134,HG,M1895,2,0,,,
2020-11-10 02:29:44,50,Order to Pursue,134,MG,DP28,2,0,,,
2020-11-10 02:30:00,50,Order to Pursue,134,MG,DP28,2,0,,,
2020-11-10 02:30:52,50,Order to Pursue,135,AR,L85A1,2,0,,,
2020-11-10 02:31:24,50,Order to Pursue,135,HG,Astra,3,1,,,
2020-11-10 02:31:40,50,Order to Pursue,135,RF,FF FN49,2,0,,,
2020-11-10 03:28:32,104,Betrayal IV,6009,MG,MG34,2,0,,,
2020-11-10 03:29:09,104,Betrayal IV,6009,HG,Bren Ten,2,0,,,
2020-11-10 03:30:17,104,Betrayal IV,6009,AR,Gr G3,2,0,,,
2020-11-10 03:31:04,104,Betrayal IV,6009,AR,Galil,2,0,,,
2020-11-10 03:32:49,104,Betrayal IV,6010,HG,Bren Ten,2,0,,,
2020-11-10 03:33:26,104,Betrayal IV,6010,MG,MG34,2,0,,,
2020-11-10 03:34:34,104,Betrayal IV,6010,SMG,Type64,2,0,,,
2020-11-10 03:35:20,104,Betrayal IV,6010,HG,Bren Ten,2,0,,,
2020-11-10 03:37:11,104,Betrayal IV,6011,HG,M1911,2,0,,,
2020-11-10 03:37:47,104,Betrayal IV,6011,HG,Bren Ten,2,0,,,
2020-11-10 03:38:24,104,Betrayal IV,6011,RF,FF FN49,2,0,,,
2020-11-10 03:39:00,104,Betrayal IV,6011,RF,SKS,2,0,,,
2020-11-10 03:39:47,104,Betrayal IV,6011,SMG,Spectre M4,2,0,,,
2020-11-10 03:41:31,104,Betrayal IV,6012,HG,Bren Ten,2,0,,,
2020-11-10 03:42:08,104,Betrayal IV,6012,AR,FF F2000,2,0,,,
2020-11-10 03:42:45,104,Betrayal IV,6012,SMG,Type64,2,0,,,
2020-11-10 03:43:22,104,Betrayal IV,6012,MG,AAT-52,2,0,,,
2020-11-10 03:44:08,104,Betrayal IV,6012,MG,AAT-52,2,0,,,
2020-11-10 23:24:21,10382,Open Bag Surprise,46,MG,MG42,3,1,,,
2020-11-10 23:24:49,10382,Open Bag Surprise,46,HG,Bren Ten,2,0,,,
2020-11-10 23:25:08,10382,Open Bag Surprise,46,AR,Galil,2,0,,,
2020-11-10 23:28:13,10382,Open Bag Surprise,47,HG,FF FNP9,2,0,,,
2020-11-10 23:28:41,10382,Open Bag Surprise,47,SMG,PP-2000,2,0,,,
