보상 번호,보상 내용
823,Equipment Contract*1
824,Quick Production*1
822,T-Doll Contract*1
878,Memory Fragment*10
801,Manpower*100
40155,prize-10040155
802,Manpower*200
822,T-Doll Contract*1
809,Rations*300
831,Intermediate Training Data*30
830,Intermediate Training Data*20
805,Ammo*200
804,Ammo*100
802,Manpower*200
816,Enhancement Capsule*2
802,Manpower*200
920,Pure Sample
878,Memory Fragment*10
810,Parts*100
810,Parts*100
808,Rations*200
827,Basic Training Data*20
816,Enhancement Capsule*2
827,Basic Training Data*20
811,Parts*200
810,Parts*100
830,Intermediate Training Data*20
836,Calibration Ticket*10
826,Quick Training*1
828,Basic Training Data*30
804,Ammo*100
816,Enhancement Capsule*2
822,T-Doll Contract*1
829,Basic Training Data*40
40156,prize-10040156
807,Rations*100
829,Basic Training Data*40
878,Memory Fragment*10
807,Rations*100
807,Rations*100
833,Advanced Training Data*20
840,Battery*30
827,Basic Training Data*20
803,Manpower*300
840,Battery*30
827,Basic Training Data*20
801,Manpower*100
919,Original Sample
810,Parts*100
815,Token*4
807,Rations*100
817,Enhancement Capsule*3
805,Ammo*200
827,Basic Training Data*20
834,Advanced Training Data*30
817,Enhancement Capsule*3
810,Parts*100
825,Quick Repair*1
830,Intermediate Training Data*20
807,Rations*100
825,Quick Repair*1
805,Ammo*200
830,Intermediate Training Data*20
830,Intermediate Training Data*20
830,Intermediate Training Data*20
824,Quick Production*1
824,Quick Production*1
825,Quick Repair*1
804,Ammo*100
823,Equipment Contract*1
828,Basic Training Data*30
804,Ammo*100
801,Manpower*100
825,Quick Repair*1
808,Rations*200
817,Enhancement Capsule*3
825,Quick Repair*1
828,Basic Training Data*30
827,Basic Training Data*20
807,Rations*100
804,Ammo*100
816,Enhancement Capsule*2
801,Manpower*100
817,Enhancement Capsule*3
824,Quick Production*1
813,Token*2
824,Quick Production*1
817,Enhancement Capsule*3
804,Ammo*100
810,Parts*100
822,T-Doll Contract*1
810,Parts*100
802,Manpower*200
816,Enhancement Capsule*2
810,Parts*100
807,Rations*100
811,Parts*200
919,Original Sample
833,Advanced Training Data*20
807,Rations*100
805,Ammo*200
816,Enhancement Capsule*2
830,Intermediate Training Data*20
808,Rations*200
804,Ammo*100
807,Rations*100
801,Manpower*100
836,Calibration Ticket*10
817,Enhancement Capsule*3
810,Parts*100
804,Ammo*100
921,Quick Analysis Contract
829,Basic Training Data*40
919,Original Sample
810,Parts*100
811,Parts*200
811,Parts*200
920,Pure Sample
823,Equipment Contract*1
920,Pure Sample
