보상 번호,보상 내용
810,Parts*100
836,Calibration Ticket*10
807,Rations*100
808,Rations*200
810,Parts*100
801,Manpower*100
803,Manpower*300
804,Ammo*100
806,Ammo*300
840,Battery*30
816,Enhancement Capsule*2
825,Quick Repair*1
831,Intermediate Training Data*30
806,Ammo*300
801,Manpower*100
801,Manpower*100
812,Parts*300
804,Ammo*100
804,Ammo*100
827,Basic Training Data*20
919,Original Sample
809,Rations*300
801,Manpower*100
830,Intermediate Training Data*20
836,Calibration Ticket*10
801,Manpower*100
40154,prize-10040154
801,Manpower*100
801,Manpower*100
827,Basic Training Data*20
802,Manpower*200
879,Memory Fragment*20
816,Enhancement Capsule*2
807,Rations*100
819,Dummy Core*1
801,Manpower*100
807,Rations*100
805,Ammo*200
832,Intermediate Training Data*40
810,Parts*100
832,Intermediate Training Data*40
822,T-Doll Contract*1
809,Rations*300
804,Ammo*100
807,Rations*100
804,Ammo*100
40154,prize-10040154
817,Enhancement Capsule*3
804,Ammo*100
828,Basic Training Data*30
807,Rations*100
805,Ammo*200
831,Intermediate Training Data*30
801,Manpower*100
827,Basic Training Data*20
817,Enhancement Capsule*3
810,Parts*100
811,Parts*200
828,Basic Training Data*30
879,Memory Fragment*20
833,Advanced Training Data*20
40144,prize-10040144
833,Advanced Training Data*20
817,Enhancement Capsule*3
839,Battery*20
805,Ammo*200
878,Memory Fragment*10
810,Parts*100
817,Enhancement Capsule*3
830,Intermediate Training Data*20
824,Quick Production*1
827,Basic Training Data*20
807,Rations*100
811,Parts*200
839,Battery*20
817,Enhancement Capsule*3
807,Rations*100
804,Ammo*100
830,Intermediate Training Data*20
802,Manpower*200
807,Rations*100
920,Pure Sample
802,Manpower*200
810,Parts*100
805,Ammo*200
919,Original Sample
801,Manpower*100
802,Manpower*200
817,Enhancement Capsule*3
812,Parts*300
819,Dummy Core*1
801,Manpower*100
801,Manpower*100
810,Parts*100
817,Enhancement Capsule*3
820,Dummy Core*2
822,T-Doll Contract*1
816,Enhancement Capsule*2
920,Pure Sample
802,Manpower*200
920,Pure Sample
805,Ammo*200
801,Manpower*100
841,Battery*40
816,Enhancement Capsule*2
807,Rations*100
804,Ammo*100
835,Advanced Training Data*40
827,Basic Training Data*20
801,Manpower*100
839,Battery*20
920,Pure Sample
813,Token*2
822,T-Doll Contract*1
801,Manpower*100
834,Advanced Training Data*30
813,Token*2
827,Basic Training Data*20
834,Advanced Training Data*30
810,Parts*100
807,Rations*100
810,Parts*100
805,Ammo*200
831,Intermediate Training Data*30
822,T-Doll Contract*1
919,Original Sample
810,Parts*100
880,Memory Fragment*30
807,Rations*100
822,T-Doll Contract*1
828,Basic Training Data*30
831,Intermediate Training Data*30
